"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1695","date picker challenge","webkit","2026-03-25","passed","2026-03-25","","ui-elements\05-jqueryui-datepicker.spec.ts","",""
"","8506","Automation practice Form","firefox","2026-03-25","passed","2026-03-25","","forms\04-demoqa-form.spec.ts","",""
"","4734","Automation practice Form","chromium","2026-03-25","passed","2026-03-25","","forms\04-demoqa-form.spec.ts","",""
"","7460","Serching playwright through git","chromium","2026-03-25","passed","2026-03-25","","content\10-github-search.spec.ts","",""
"","7179","mouse interaction excercises","firefox","2026-03-25","passed","2026-03-25","","interaction\08-mouse-actions.spec.ts","",""
"","1223","date picker challenge","chromium","2026-03-25","passed","2026-03-25","","ui-elements\05-jqueryui-datepicker.spec.ts","",""
"","8039","Github - negative login validation","chromium","2026-03-25","failed","2026-03-25","","auth\01-login-negative.spec.ts","",""
"","3731","SauceDemo- cart updates","webkit","2026-03-25","passed","2026-03-25","","ecommerce\02-saucedemo-cart.spec.ts","",""
"","1309","get started link","chromium","2026-03-25","passed","2026-03-25","","example.spec.ts","",""
"","2516","SauceDemo- cart updates","chromium","2026-03-25","passed","2026-03-25","","ecommerce\02-saucedemo-cart.spec.ts","",""
"","11675","multi tab navigation","webkit","2026-03-25","passed","2026-03-25","","browser\07-multi-tab-navigation.spec.ts","",""
"","835","drag and drop ui interaction","chromium","2026-03-25","passed","2026-03-25","","ui-elements\06-queryui-dragdrop.spec.ts","",""
"","4760","SauceDemo- cart updates","firefox","2026-03-25","passed","2026-03-25","","ecommerce\02-saucedemo-cart.spec.ts","",""
"","4259","SauceDemo- checkout Validations","webkit","2026-03-25","passed","2026-03-25","","ecommerce\03-saucedemo-checkout.spec.ts","",""
"","2620","SauceDemo- checkout Validations","chromium","2026-03-25","passed","2026-03-25","","ecommerce\03-saucedemo-checkout.spec.ts","",""
"","1911","get started link","webkit","2026-03-25","passed","2026-03-25","","example.spec.ts","",""
"","2097","drag and drop ui interaction","webkit","2026-03-25","passed","2026-03-25","","ui-elements\06-queryui-dragdrop.spec.ts","",""
"","1490","has title","webkit","2026-03-25","passed","2026-03-25","","example.spec.ts","",""
"","2701","date picker challenge","firefox","2026-03-25","passed","2026-03-25","","ui-elements\05-jqueryui-datepicker.spec.ts","",""
"","11165","multi tab navigation","chromium","2026-03-25","passed","2026-03-25","","browser\07-multi-tab-navigation.spec.ts","",""
"","2161","has title","chromium","2026-03-25","passed","2026-03-25","","example.spec.ts","",""
"","3332","mouse interaction excercises","chromium","2026-03-25","passed","2026-03-25","","interaction\08-mouse-actions.spec.ts","",""
"","10403","mouse interaction excercises","webkit","2026-03-25","passed","2026-03-25","","interaction\08-mouse-actions.spec.ts","",""
"","8970","Checking Knowledge of Checkbox and radio buttons","firefox","2026-03-25","passed","2026-03-25","","interaction\09-checkbox-radio.spec.ts","",""
"","3637","has title","firefox","2026-03-25","passed","2026-03-25","","example.spec.ts","",""
"","4037","Checking Knowledge of Checkbox and radio buttons","chromium","2026-03-25","passed","2026-03-25","","interaction\09-checkbox-radio.spec.ts","",""
"","11979","Serching playwright through git","webkit","2026-03-25","passed","2026-03-25","","content\10-github-search.spec.ts","",""
"","8715","Automation practice Form","webkit","2026-03-25","passed","2026-03-25","","forms\04-demoqa-form.spec.ts","",""
"","13952","Serching playwright through git","firefox","2026-03-25","passed","2026-03-25","","content\10-github-search.spec.ts","",""
"","2689","get started link","firefox","2026-03-25","passed","2026-03-25","","example.spec.ts","",""
"","2376","drag and drop ui interaction","firefox","2026-03-25","passed","2026-03-25","","ui-elements\06-queryui-dragdrop.spec.ts","",""
"","13632","multi tab navigation","firefox","2026-03-25","passed","2026-03-25","","browser\07-multi-tab-navigation.spec.ts","",""
"","9741","Github - negative login validation","firefox","2026-03-25","failed","2026-03-25","","auth\01-login-negative.spec.ts","",""
"","7836","Checking Knowledge of Checkbox and radio buttons","webkit","2026-03-25","passed","2026-03-25","","interaction\09-checkbox-radio.spec.ts","",""
"","8513","Github - negative login validation","webkit","2026-03-25","failed","2026-03-25","","auth\01-login-negative.spec.ts","",""
"","5129","SauceDemo- checkout Validations","firefox","2026-03-25","passed","2026-03-25","","ecommerce\03-saucedemo-checkout.spec.ts","",""
